,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
2061,2016-02-17,2.0.DHA,81.75825417624999,46.69132666666666
2062,2016-02-17,2.0.DHS,82.20115680666666,46.745076666666655
2063,2016-02-17,2.0A,102.22989600999999,48.863826666666675
2064,2016-02-18,2.0.DHA,79.68295053166668,45.01924333333334
2065,2016-02-18,2.0.DHS,80.15061360333335,45.072993333333336
2066,2016-02-18,2.0A,100.04217622541665,47.191743333333335
2067,2016-02-19,2.0.DHA,81.65869262916667,46.17716000000001
2068,2016-02-19,2.0.DHS,82.18883292166666,46.230909999999994
2069,2016-02-19,2.0A,102.16284930541663,48.34965999999999
2070,2016-02-20,2.0.DHA,77.43259981791665,42.02591
2071,2016-02-20,2.0.DHS,77.90303874458333,42.07966
2072,2016-02-20,2.0A,97.90982411916667,44.19841
2073,2016-02-21,2.0.DHA,69.38811817291666,34.442576666666675
2074,2016-02-21,2.0.DHS,69.90228709083333,34.49632666666667
2075,2016-02-21,2.0A,89.7020395975,36.61507666666666
2076,2016-02-22,2.0.DHA,83.13790593749998,48.02841000000001
2077,2016-02-22,2.0.DHS,83.56994590458332,48.08216000000001
2078,2016-02-22,2.0A,103.71453103708332,50.20090999999999
2079,2016-02-23,2.0.DHA,75.49454155833334,41.18966000000001
2080,2016-02-23,2.0.DHS,75.91220865666666,41.243410000000004
2081,2016-02-23,2.0A,95.77840499791667,43.362159999999996
2082,2016-02-24,2.0.DHA,72.07530792625,38.383410000000005
2083,2016-02-24,2.0.DHS,72.45916347333333,38.43716
2084,2016-02-24,2.0A,92.32371434333335,40.55591
2085,2016-02-25,2.0.DHA,69.28480678166666,36.08424333333333
2086,2016-02-25,2.0.DHS,69.66536985333333,36.137993333333334
2087,2016-02-25,2.0A,89.45871039208332,38.25674333333333
2088,2016-02-26,2.0.DHA,67.27948429583334,34.04257666666667
2089,2016-02-26,2.0.DHS,67.60783417166668,34.09632666666666
2090,2016-02-26,2.0A,87.60333638875,36.21507666666666
2091,2016-02-27,2.0.DHA,45.150025234583325,15.01674333333333
2092,2016-02-27,2.0.DHS,45.290341661250004,15.070493333333332
2093,2016-02-27,2.0A,64.99720203583334,17.189243333333334
2094,2016-02-28,2.0.DHA,45.65519983958334,15.115493333333331
2095,2016-02-28,2.0.DHS,45.833114174166674,15.169243333333329
2096,2016-02-28,2.0A,65.56858459750002,17.287993333333336
2097,2016-02-29,2.0.DHA,61.84032427083333,29.67049333333334
2098,2016-02-29,2.0.DHS,62.18778132125001,29.724243333333334
2099,2016-02-29,2.0A,81.84905312041667,31.842993333333336
2100,2016-03-01,2.0.DHA,71.58593541166665,38.909243333333336
2101,2016-03-01,2.0.DHS,71.92307018541666,38.96299333333334
